Item, Storage, Monster(s), Item Type, Ingredient Type, Crafting Value, Use, Effect, Cooking Effect, Find Checks, Find DC, Location
Nightmare Tail,bag,Nightmare,Ingredient (Uncommon),"Potions, Spells, Wondrous Items (Broom of Flying, clothing)",100 GP,-,"The soot-covered black tail of a Nightmare is useful to both alchemists and weavers. The hair is fused with hellish arcane power, and may be used in the creation of magic items.",-,"Nature, Perception, Investigation, Arcana","15(x1)", "Prairie"
Nightmare Hooves,pouch,Nightmare,Consumable (Uncommon),"Potions, Spells, Wondrous Items (Figurine of Wondrous Power (Obsidian), Totem of Nightmare Recall",100 GP,Conjure,"The hard hooves of a Nightmare are solid, deep black blocks. A sculptor can carve the hooves into small statuettes, figurines, jewelry and tiny tools. These small creations swirl with arcane energy and accept certain enchantments from adept spellcasters. It can be used as 100 GP worth in materials towards crafting magic items, particularly towards the 10,000 GP needed to make a Figurine of Wondrous Power (Obsidian) (Very Rare), which would summon a Nightmare for 24 hours or towards the 1000 GP necessary to craft a Totem of Nightmare Recall (Rare), which works similarly but has a time limit of 2 hours and can only be used once. On its own, you can deplete its magic and use a Magic Action to call forth a Nightmare for 10 minutes. The Nightmare fights only to defend itself. It is friendly to you but has a 25 percent chance of ignoring your orders. If you mount the Nightmare while it is ignoring your orders, you and the Nightmare are instantly transported to the Ethereal Plane. You can command it to jump between the Ethereal Plane and Material Plane as a Magic Action. If you are still in the Ethereal Plane when its time runs out, it must take a Reaction to kick you right back to the Material Plane dealing 2d8 Bludgeoning damage.",-,"Survival, Perception, Investigation","13(x1),15(x2),17(x3),23(x4)", "Prairie"
Totem of Nightmare Recall,-,-,Wondrous Item (Rare),-,-,-,"Made of the hooves of a Nightmare, this tiny figurine of a fiery steed has the power to summon a Nightmare, although only for 2 hours, and only once. The Nightmare fights only to defend itself. The figurine has a 20 percent chance each time you use it to ignore your orders, including a command to revert to figurine form. If you mount the Nightmare while it is ignoring your orders, you and the Nightmare are instantly transported to the Ethereal Plane. You can command it to jump between the Ethereal Plane and Material Plane as a Magic Action. If you are still in the Ethereal Plane when its time runs out, it must take a Reaction to kick you right back to the Material Plane dealing 2d8 Bludgeoning damage.",-,-,-,-
Air Elemental Dust,vial,Air Elemental,Ingredient (Uncommon),"Wondrous Item (Elemental Gem)",100 GP,-,"The magical remnants found in dust picked up by an Air Elemental can be used as 100 GP worth in materials to enchant a Blue Sapphire worth 100 GP to craft an Elemental Gem (Blue Sapphire)",-,"Arcana, Alchemist Kit","15(x1)", "Lakeshore"
Oni Blood,bag,Oni,Consumable (Rare),"Potions (Healing, Vitality, Longevity, Giant Strength), Ring of Regeneration, Oni Mask, Belt of the Oni, Mace of Terror, Wand of Fear",250 GP,Drink,"The blood of an Oni is filled with its regenerative powers, but it is also flowing with the malice of an Oni, and has a high chance of corrupting those who try to channel its energy. When consumed, you recover 8d4+8 Hit Points, and enter a frenzy, gaining the power of an Oni for 1 minute. During this frenzy, you gain 20 ft of Speed, and have 1 more attack per turn. While under the effect of this frenzy, at the start of each of your turns, you must succeed on a DC 17 Wisdom Saving Throw or lose the ability to distinguish friend from foe until the start of your next turn. When the frenzy ends, you become Incapacitated, and must succeed on a DC 15 Constitution Saving Throw or become Unconscious until the start of your next turn.","You can use this to cook a monstrous meal with a special effect for up to 4 people. When eatn, you gain 4d4+4 Hit Points and gain 10 ft of Speed for 1 minute.","Survival, Nature, Medicine, Arcana, Alchemist Kit","13(x1),15(x2),17(x3)", "Lakeshore"
Oni Horn,bag,Oni,Consumable (Rare),"Potions (Healing, Vitality, Longevity, Giant Strength), Oni Mask, Mace of Terror, Wand of Fear",500 GP,Absorb,"The horn of an Oni is filled with its power. Some even say that cutting off an Oni's Horn will halve it's power, and an Oni without horns has only a quarter of its power. You can harness this power to shapeshift into a fiendish form that greatly enhances your power for 1 hour. You grow one size larger and you gain a +1 bonus to your Strength and Charisma modifiers. You can use a Magic Action to give a nightmarish stare to a target you can see within 60 ft of you. Make a Ranged Spell Attack roll using your Charisma and Proficiency Bonus for the modifier, if it hits, the target takes 2d6 plus your Charisma modifier Psychic damage and has the Frightened condition until the start of your next turn.",-,"Survival, Nature, Medicine, Arcana","17(x1),20(x2)", "Lakeshore"
Oni Claws,bag,Oni,Consumable (Rare),"Potions (Healing, Vitality, Longevity, Giant Strength), Mace of Terror, Wand of Fear",200 GP,"Throw, Fire with Arrow","Onis are known for their ability to strike Fear into the hearts of their victims. Their claws are still emanating some of this accursed fright. You can throw one at a target, which if hit, takes 1d12 Piercing and 1d8 Necrotic damage and becomes Frightened until the start of your next turn. You can also attach it to an ammunition to add this damage and effect to that of the normal ammunition. Alternatively you can use these as 200 GP worth of materials towards the 1000 GP necessary to craft Oni Claw Ammunition (Rare)(10), which have the same effect.",-,"Survival, Nature, Medicine, Arcana","13(x2),15(x4),17(x6)", "Lakeshore"
Oni Claw Ammunition,-,-,Ammunition (Rare),-,-,-,"Ammunition made with the claws of an Oni. If hit, additional to the normal damage the ammunition would deal, the target takes 1d12 Piercing and 1d8 Necrotic damage and becomes Frightened until the start of your next turn.",-,-,-,-
Oni Heart,bag,Oni,Consumable (Very Rare),"Potions (Healing, Vitality, Longevity, Giant Strength), Ring of Regeneration, Oni Mask, Belt of the Oni, Mace of Terror, Wand of Fear, Oni Amulet","10,000 GP",Eat,"The heart of an Oni is filled with dangerous powers, both of regeneration and of corruption. You can use this as 10,000 GP worth of materials to craft magic items with Oni magic, but it is also the only material capable of crafting the Oni Amulet (Rare), which costs 20,000 GP to make. You could consume it as it is and absorb its magic, at the cost of terrible corruption. You can take 8 hours studying the heart and demonic literature with a DC 18 Religion or Arcana check to know what happens if you eat the heart. You can try to remember if you had read something on the matter before by making a DC 23 Religion or Arcana check. (DM Eyes only: When consumed, you become transformed by an Onification Curse. You can speak and understand Giant. You gain 10 ft Speed and one extra attack action. Once per Long Rest, as a Magic Action, you can acivate a regenerative process and regain 10 Hit Points at the start of each of your turns if you have at least 1 Hit Point for 1 hour. You can use a Magic Action to cast Sleep once per Short or Long Rest. You can use a Magic Action to cast Gaseous Form once per Long Rest. Every time you roll initiative, you must succeed on a DC 17 Wisdom Saving Throw or lose the ability to distinguish friend from foe unless someone casts Calm Emotions on you. You can only remove this effect with a Remove Curse spell casted at the 6th level.)","You can use this to cook a monstrous meal with a special effect for up to 4 people. When eatn, you gain 8d4+8 Hit Points and gain 10 ft of Speed for 10 minutes.","Survival, Nature, Medicine, Arcana","25(x1)", "Lakeshore"
Oni Amulet,-,-,Wondrous Item (Very Rare)(Requires Attunement),-,-,-,"You harnessed the power of an Oni without the repercussions of its corruption into this amulet. The amulet has 6 charges. You can use 1 charge to gain regenerative powers for 10 minutes, gaining 5 Hit Points at the start of each of your turns as long as you have at least 1 Hit Point. You can use 2 charges and a Bonus Action to gain 20 ft of Speed and an extra Attack action per turn for 1 minute. You can use 1 charge to cast the spell Sleep with a spell save DC of 17. You can use 2 charges to cast the spell Gaseous Form. You can use 1 charge and a Magic Action to give a nightmarish stare to a target you can see within 60 ft of you. The target must succeed on a DC 16 Wisdom Saving Throw or take 2d6 plus your Charisma modifier Psychic damage and have the Frightened condition until the start of your next turn. The amulet regains 1d6 charges on a Long Rest.",-,-,-,-
Oni Mask,-,-,Wondrous Item (Rare)(Requires Attunement),-,-,-,"A mask made to resemble the face of an Oni. While you are wearing this mask and are attuned to it, you gain a +5 bonus to Intimidation checks. You can use a Bonus Action instead of the Influence Action on any given turn to attempt to Intimidate a target. The mask has 3 charges. You can use 1 charge to cast the spell Sleep with a spell save DC of 15, or with your Charisma modifier and your Proficiency Bonus added to 8, whichever result is higher. You also gain a +1 bonus to attack rolls and damage rolls made with 2 handed weapons.",-,-,-,-
Belt of the Oni,bag,Oni,Wondrous Item (Rare)(Requires Attunement),-,-,-,"The belt worn by an Oni, or one made by using Oni parts, is imbued with its strength and speed. While you are wearing this and are attuned to it, you gain a +1 bonus to your strength modifier and gain 1 extra attack action on each of your turns. You can spend one Action reeling for a desicive strike. Your next attack is made with advantage and deals an additional 2d8 Necrotic damage on a hit.",-,"Perception, Investigation, Arcana","17(x1)", "Lakeshore"
Paralytic Chuul Venom,vial,Chuul,Consumable (Uncommon),-,-,Weapon Enchant,"You can use a Bonus Action to coat your weapon or 10 pieces of ammunition, which become enhanced with a paralytic poison for 1 minute or 10 hits, whichever comes first. When hit, the target must succeeed on a DC 13 Constitution Saving Throw or have the Poisoned condition, repeating the saving throw at the end of each of its turns. While the target has the Poisoned condition, it also has the Paralyzed condition.","If you are proficient with the Alchemist Kit, you can make 4 vials of an Antiparalytic.","Survival, Nature, Poisoner's Kit, Alchemist Kit","15(x1),20(x2)", "Lakeshore"
Antiparalytic,-,-,Consumable (Uncommon),-,-,"Drink, Inject","An antidote to paralysis effects made from the venom of a Chuul. When injected or drank, it ends the Poisoned and the Paralyzed conditions.",-,-,-,-
Spider Silk,spool,Giant Spider,Ingredient (Common),"Potion of Climbing, Wondrous Items (clothing)",25 GP,-,"The silk of a giant spider is more abundant and more easily usable by weavers than that of smaller spiders. Additionally, it makes a perfect base for a Potion of Climbing.",-,"Survival, Nature","13(x1),17(x2)", "Lakeshore"
Spider Venom,vial,Giant Spider,Consumable (Common),-,-,"Weapon Enchant","You can use the venom of the snake directly, or refine it with the Poisoner Kit or the Alchemist kit to generate 3 vials with the same effect. You can coat your weapon or 3 pieces of ammunition with the venom, which will last for 1 minute or 3 hits, whichever comes first. On a hit, add +1d6 Poison damage.","If you have proficiency with the Poisoner Kit or the Alchemist Kit, you can make 3 Antitoxins from the venom in 1 hour.","Survival, Nature, Poisoner's Kit, Alchemist Kit","15(x1),20(x2)","Lakeshore"
History of the Lilac Eyed,pouch,Pigeon Hag,Consumable (Rare),"Potions, Scrolls, Weapons, Armor, Shields, Rods, Wands, Staffs, Rings, Wondrous Items",500 GP,Absorb,"A magical gem that contains the encrypted life experiences and secrets of a lilac eyed person that the Pigeon Hag impersonated over the course of the years. It seems that whenever she took away the skin of a victim, all its insides were compressed into a magical gem, their life long gone, but their knowledge kept. You permanently gain a +2 bonus to one skill you choose.",-,"Survival, Perception, Investigation, Insight, Arcana, Fated Tarot Reading","15(x1),20(x2),25(1 for each party member), Auto Success on Fated Tarot: The Sun (1 for each party member)", "Cornfield"
Tome of Many Secrets,bag,Pigeon Hag,Consumable (Very Rare),-,-,Read,"A tome filled with many secrets that the Pigeon Hag obsessively collected over the years. Some of it Arcane, some of it mundane. If you spend 12 hours studying the book’s contents, you increase one of your Ability Scores by 2 to a maximum of 24.",-,"Survival, Perception, Investigation, Arcana, Fated Tarot Reading","23(x1), Auto Success on Fated Tarot: The Sun (x1)", "Walking Dovecote"
Bag of Hilarity,pouch,"Reveler of Stories, Reveler of Song, Herald of Fools, The Lord of Fools",Consumable (Rare),"Potions, Scrolls, Rods, Wands, Staffs, Rings, Wondrous Items",500 GP,"Throw, Sprinkle","When thrown, upon impact a cloud of confetti and glitter explodes in a 5 ft radius, creatures in the radius must succeed on a DC 15 Wisdom Saving Throw or take 4d6 Psychic Damage and be affected by a random chaotic curse for 1 minute, or half the damage and no chaotic curse on a success. When sprinkled on the ground, an emanation of 15 ft radius surrounds the sprinkled area, and enemies entering the emanation or starting their turn in the emanation make a DC 15 Wisdom saving throw, and take 2d6 Psychic damage and become affected by incontrollable laughter which makes them unable to attack until the start of their next turn, or half damage and no laughter on a success. Revelers and Fools roll with Advantage on all saving throws for these effects.",-,"Perception, Investigation, Religion, Performance, Fated Tarot Reading (The Lord of Fools)", "17(x1), 20(x2), 15(x1)(Herald of Fools), 17(x2)(Herald of Fools), 20(x3)(Herald of Fools), 13(x1)(The Lord of Fools), 15(x3)(The Lord of Fools), 17(x6)(The Lord of Fools), Auto Success on Fated Tarot: The Magician (x6)(The Lord of Fools)","Moors, Fool's Day Festival"
Fool's Treat,pouch,"Reveler of Stories, Reveler of Song, Herald of Fools, The Lord of Fools",Consumable (Uncommon),-,-,"Eat, Throw","Food from the Fool's Day Festival. When eaten, you recover 1d4-1 Hit Points (a minimum of 0), but you are still hungry when you finish eating it. When thrown as bait, you can attract beasts (DM's Eyes only: or children) that would eat it.",-,"Perception, Investigation, Religion, Performance", "10(x1), 13(x2), 15(x3), 10(x3)(Herald of Fools), 13(x6)(Herald of Fools), 15(x10)(Herald of Fools), 10(x6)(The Lord of Fools) ,13(x10)(The Lord of Fools) ,15(x15)(The Lord of Fools), Auto Success on Fated Tarot: The Magician (x15)(The Lord of Fools) ","Moors, Fool's Day Festival"
Drama Prop,bag,Reveler of Stories,"Wondrous Item (Very Rare)",-,-,-,"A dramatic accessory worn by a Reveler of Stories. Once per Long Rest, whenever you are hit by an attack roll, you can make a Perfomance Check using the attack roll as DC. If you succeed, you can add 4 to your Armor Class.",-,"Performance",25 (x1),"Moors, Fool's Day Festival"
Medallion of the Hero,pouch,Reveler of Stories (Hero),Wondrous Item (Rare),-,-,-,"A medallion imbued with the power of stories of past heroes all throughout the afterlife. While you are wearing the medallion, once per long rest, you gain 1 Heroic Deed. You can use the Heroic Deed to gain Heroic Inspiration if you don't already have it, or to do heroic feats that you wouldn't otherwise be able to do, such as switch places with someone adjacent to you in battle, perform a great athletic task, recover 1 Hit Point once you are reduced to 0 HP, and so on, guided by the spirit of the Heroes of the past.",-,"Perception, Investigation, Religion, Performance","20(x1)", "Moors, Fool's Day Festival"
Booklet of the Riddler,pouch,Reveler of Stories (Hero),Consumable (Rare),-,-,Say,"Obtained at the riddle booth in the Fool's Day Festival, it's an empty booklet with two blank pages labeled Riddle and Answer. You can use a Magic Action to say a riddle and think of an answer, which both will magically appear and fill the pages of the booklet. During that same Magic Action, you target one creature within 30 ft of you. The targt must succeed on a DC 15 Wisdom saving throw or be compelled to answer a riddle for 3 rounds that you challenge it to answer. If compelled to do this, it loses any Movement and Bonus Actions it has for the duration, and it must spend any kind of action only to think of an answer by making a DC 16 Intelligence check. If it answers correctly or makes 3 incorrect attempts, it resumes its hostility if there was any. The target must be able to speak or communicate through charades, or the effect fails automatically. Revelers and Fools roll with Advantage on all D20 Tests for this effect.",-,"Perception, Investigation, Religion, Performance","15(x1),17(x2), 20(x3)", "Moors, Fool's Day Festival"
Crown of the Great Beast Reveler,bag,Reveler of Stories (Great Beast),Wondrous Item (Rare),-,-,-,"A crown imbued with the power of stories of great beasts all throughout the afterlife. While you are wearing the crown, you gain a +1 bonus to your Strength Saving Throws and Ability Checks. Once per Long Rest, you can use a Magic Action to become surrounded in beastly energy and become one size larger for up to 1 minute. During this Magic Action, you can target one creature within 5 ft of you and wrestle it. The target makes a  Constitution Saving Throw with a save DC of 17 or 8 plus your Strength modifier and Proficiency Bonus, whichever is higher. The saving throw is made at Disadvantage if the target is already Grappled by you at the time you use this feature. On a failure, the target takes 8d8 Necrotic damage, and if it wasn't already, becomes Grappled by you with an escape DC 15 or 8 plus your Strength modifier and Proficiency Bonus, whichever is higher. The target has the restrained condition until the Grapple ends. On a successful save, only half damage is taken. On whichever result, you gain the Necrotic damage you dealt as Temporary Hit Points. Once the grapple is ended or 1 minute passes, you reverse to your normal size.",-,"Perception, Investigation, Religion, Performance","20(x1)", "Moors, Fool's Day Festival"
Charm of the Wrestler,pouch,Reveler of Stories (Great Beast),Consumable (Uncommon),-,-,Crush,"Obtained at the arm wrestling booth in the Fool's Day Festivel, it's a small charm made out of twigs and leaves in the shape of a bear. You can use a Magic Action to crush the charm and challenge a target within 30 ft of you to a wrestling match. The target must succeed on a DC 15 Wisdom Saving Throw or be compelled to use its Reaction to move towards you. You both enter a wrestling match and have the Grappled condition. Because you are both Grappling each other, both your speeds become 0, and both of your hands are occupied. The target loses any Bonus Actions. You both must use your next 3 actions of any kind to Push the other target at least 10 ft from the starting point. When either party wins the match or after 3 rounds have passed, the target returns to its hostility if there was any. The target must be able to understand your challenge, be it by words or animalistic instinct, or the effect fails automatically. Revelers and Fools roll with Advantage on all D20 Tests for this effect.",-,"Perception, Investigation, Religion, Performance","15(x1),17(x2),20(x3)", "Moors, Fool's Day Festival"
Wicked Wind-vane,bag,Reveler of Stories (Witch),Wondrous Item (Rare),-,-,-,"A wind-vane imbued with the power of stories of wicked witches all throughout the afterlife. While you are holding the wind-vane, you gain a +1 bonus to Charisma Saving Throws and Ability Checks. once per Long Rest you can use a Magic Action to release a Wicked Storm. Each creature in a 60 ft Cone must make on a Dexterity Saving Throw with a DC of 17 or your spell save DC, whichever is higher. On a failure, they take 6d8 Lightning damage and have the Frightened condition. While Frightened this way, the target's Speed is halved. A target repeats the saving throw at the end of each of it's turns, ending the effect on itself on a success. On a successful save, they take half damage and no additional effects.",-,"Perception, Investigation, Religion, Performance","20(x1)", "Moors, Fool's Day Festival"
Badge of the Drinking Champion,pouch,Reveler of Stories (Witch),Consumable (Uncommon),-,-,Show,"Obtained at the drinking match booth in the Fool's Day Festivel, it's a small badge with the shape of a goblet. You can use a Magic Action to show the badge to a target within 10 ft of you and challenge them to a drinking match. The target must succeed on a DC 15 Wisdom Saving Throw or be compelled to use its Reaction to move towards you. You must procure 6 vials of liquid from your inventory. You then must shuffle them and give 3 to each contestant. The target and you lose any Movement or Actions, and must use your Bonus Action and their Reaction to consume 1 vial per round. Whatever the effects of the vials might be, it is up to you and whatever items you have collected, and the conditions to win or lose are also set by you. After either of you win or lose or 3 rounds have passed, the target returns to their hostility, if there was any. The target must be able to speak or communicate through charades, and must be able to drink from vials, or the effect fails automatically. Revelers and Fools roll with Advantage on all D20 Tests for this effect.",-,"Perception, Investigation, Religion, Performance","15(x1),17(x2),20(x3)", "Moors, Fool's Day Festival"
Drone of the Reveler,-,Reveler of Song (Drone),Instrument (Rare),-,-,-,"A hurdy gurdy imbued with the power of bees. Once per long rest, you can use the instrument to attract bees to a point in a 30 ft range. Surrounding the point bees swarm in a 10 ft radius sphere. The area becomes Lightly Obscured. When the swarm appears, each creature in it makes a DC 16 Constitution saving throw, taking 2d10 Piercing damage on a failed save or half as much damage on a successful one. On subsequent turns, the bees will chase creatures that failed the initial save, keeping their space Lightly Obscured and repeating their saving throw, taking an additional 1d10 Piercing damage on a failure or half as much on a success. The effect continues on each creature until they succeed on their saving throw.",-,"Perception, Investigation, Religion, Performance","25(x1)", "Moors, Fool's Day Festival"
Apiary Dart,pouch,Reveler of Song (Drone),Consumable (Uncommon),-,-,Throw,"Obtained at the darts booth in the Fool's Day Festival, it is a dart with the design of a bee. When thrown, deal 1d4 piercing and 1d4 Psychic damage, and the dart itself transforms into a bee. The target is chased by a single bee, making a Constitution Saving Throw at Disadvantage for concentrating on a spell until the start of your next turn.",-,"Perception, Investigation, Religion, Performance","15(x2),17(x4),20(x6)", "Moors, Fool's Day Festival"
Beesting Ring,pouch,Reveler of Song (Drone),Ring(Very Rare),-,-,-,"A ring worn by the Reveler of Song (Drone), with a symbol of a bee pointing its stinger. When worn, attacks you make can become Critical Hits when rolling 18, 19 and 20",-,"Perception, Investigation, Religion, Performance","20(x1)",-
Bell of the Reveler,-,Reveler of Song (Bell),Instrument (Rare),-,-,-,"A bell imbued with the power of confusion. Once per long rest, you can use the instrument to confuse a target within 30 ft of you. The target must succeed on a DC 16 Constitution Saving Throw or take 5d8 Thunder damage and be Stunned until the start of your next turn, taking only half damage on a success.",-,"Perception, Investigation, Religion, Performance","25(x1)", "Moors, Fool's Day Festival"
Chime of Confusion,pouch,Reveler of Song (Bell),Consumable (Uncommon),-,-,Challenge,"Obtained at the bell and ball booth in the Fool's Day Festival. You can use a Magic Action to challenge a target to the same game. The target must succeed on a DC 15 Wisdom Saving Throw or be compelled to use its Reaction to move towards you and play the game for 3 rounds. Each round, it must make a DC 15 Wisdom Check (Insight or Perception) to guess where the ball is. If it wins once or loses for 3 rounds, it resumes its hostility, if it had any. The target must be able to speak or communicate through charades, or the effect fails automatically. Revelers and Fools roll with Advantage on all D20 Tests for this effect.",-,"Perception, Investigation, Religion, Performance","15(x1),17(x2), 20(x3)", "Moors, Fool's Day Festival"
Drum of the Reveler,-,Reveler of Song (Drum),Instrument (Rare),-,-,-,"A drum imbued with the power of dancing. Once per long rest, you can use the drum to target up to 2 creatures you can see within 30 ft of you. The targets must then succeed on a DC 16 Wisdom Saving Throw or be compelled to dance for up to 1 minute. While dancing, it cannot fight. They must repeat the save at the end of each of its turns. The effect ends if it succeeds any of its saves, or if 3 rounds have passed.",-,"Perception, Investigation, Religion, Performance","25(x1)", "Moors, Fool's Day Festival"
Drumstick of Rhythm,bag,Reveler of Song (Drum),Consumable (Uncommon),-,-,-,"Obtained at the Rhythm Hero booth in the Fool's Day Festival, a colorful drumstick. You can use it to challenge a target you can see within 30 ft of you to a Dance-off. The target must succeed on a DC 15 Wisdom Saving Throw or be compelled to take the challenge. For 3 rounds both of you must make contested Performance checks. Up to 3 creatures you can see in a 60 ft radius must succeed on a DC 15 Wisdom Saving Throw or be compelled to watch the show until they are attacked or otherwise distracted. The audience claps each time one of you dances and the winner is decided at the end of the 3 rounds. The target and the audience resumes its hostility after the Dance-off if they were hostile to you before. The target must be able to speak or communicate through charades, or the effect fails automatically. Revelers and Fools roll with Advantage on all D20 Tests for this effect.",-,"Perception, Investigation, Religion, Performance","15(x3),17(x6)", "Moors, Fool's Day Festival"
Flag of the Herald,bag,Herald of Fools,"Wondrous Item (Rare)",-,-,"Wear","If worn as a cloak or some other accessory, add +2 on Performance checks (humor). You can use the spell Greater Invisibility once per Long Rest, but every step you take makes very loud sound effect noises, alerting everyone in a 30 ft radius of your presence, and giving you Disadvantage on Stealth checks while you are moving.",-,"Perception, Investigation, Religion, Performance", "13(x1)","Moors, Fool's Day Festival"
Toy Car,bag,Herald of Fools,Consumable (Very Rare),Clown Car,"15,000 GP",Activate,"A toy cart found in the Fool's Day Festival. It is inherently tied to the tastes in Clown philosophy of the Lord of Fools and his Revelers and Heralds, and as such, you can only use it once before it loses its power. As a Magic Action, you can grow this tiny toy car to a small colorful car with a comical honk. The car is 8 ft long, 5 ft wide and 3 ft tall, occupying two 5 ft square spaces on a grid. As part of that same action, you and up to twelve other willing Medium or smaller creatures you can see within 30 ft of yourself you allow can enter the car, however impossible it looks. The car has a speed of 60 ft, an Armor Class of 15, 25 Hit Points and immunity to Poison and Psychic damage. If its HP reaches 0, all passengers take 1d10 Force damage and appear Prone in an unoccupied space 10 ft of the car. Whenever the car receives damage, every passenger makes a DC 17 Dexterity Saving Throw at Disadvantage or take 1d8 Bludgeoning damage. Once one of the passengers exits the vehicle all other passengers must follow suit appearing in adjacent spaces near the car. If you ride the car for long times, every 10 minutes, every passenger makes a DC 17 Dexterity Saving Throw at Disadvantage or take 1d8 Bludgeoning damage. You can travel this way for up to 4 hours a day. Once per hour, you must succeed on a DC 15 Wisdom Saving Throw or have a Random Curse befall you. Once you have ridden it for its time limit or it reaches 0 HP, the car breaks down reaching 0 Hit Points if it ran out of time, becoming permanently unusable. You can, however, use the Puppet Car as 15,000 GP worth in materials towards the 20,000 GP necessary for crafting a reusable Personalized Clown Car (Very Rare) as long as it has 10 Hit Points.",-,"Perception, Investigation, Religion, Performance, Fated Tarot Reading","18(x1), Auto Success on Fated Tarot: The Magician.","Fool's Day Festival"
Personalized Clown Car,-,-,Wondrous Item (Very Rare),-,-,Activate,"You spent time and energy personalizing a toy car found in the Fool's Day Festival, giving it your very own Clowny touch, making it magically tied to you in a way that it won't lose its power after you ride it. The car functions in a similar fashion to a Figurine of Wondrous Power, in that once it becomes unusable when it loses its Hit Points or runs out of time, it will become usable again in a set number of days. As a Magic Action, you can grow this tiny toy car to a small colorful car with a comical honk. The car is 8 ft long, 5 ft wide and 3 ft tall, occupying two 5 ft square spaces on a grid. As part of that same action, you and up to twelve other willing Medium or smaller creatures you can see within 30 ft of yourself you allow can enter the car, however impossible it looks. The car has a speed of 60 ft, an Armor Class of 18, 40 Hit Points and immunity to Poison and Psychic damage. If its HP reaches 0, all passengers take 1d10 Force damage and appear Prone in an unoccupied space 10 ft of the car. Whenever the car receives damage, every passenger makes a DC 15 Dexterity Saving Throw at Disadvantage or take 1d4 Bludgeoning damage. Once one of the passengers exits the vehicle all other passengers must follow suit appearing in adjacent spaces near the car. You can also dismiss the car back into a toy car as a Magic Action, and it retains its Hit Points and the amount of time you have left to ride it is paused. If you ride the car for long times, every 1 hour, every passenger makes a DC 15 Dexterity Saving Throw at Disadvantage or take 1d4 Bludgeoning damage. You can travel this way for up to 12 hours a day. Once you have ridden it for its time limit or it reaches 0 HP, the car reverts to its toy form and must be recharged by doing a DC 13 Performance check of humor or entertainment once per long rest. Once you have succeeded 10 times, the toy car becomes able to be used again.",-,-,-,-
Bottle,bag,The Lord of Fools,Mundane,-,-,-,"An empty bottle of wine found in the Lord of Fools personal items. It looks very old.",-,"Perception, Investigation, Religion, Performance, Fated Tarot Reading","10(x1),13(x2),15(x3),17(x4),20(x5), Auto Success on Fated Tarot: The Magician(x5)","Fool's Day Festival"
Flower of Endless Water,bag,The Lord of Fools,Wondrous Item (Uncommon),-,-,-,"A non-assuming flower, hidden somewhere in the stem lies a secret button. You can use a Magic Action to activate the Flower, which now functions like a Decanter of Endless Water.",-,"Perception, Investigation, Religion, Performance, Fated Tarot Reading","10(x1), Auto Success on Fated Tarot: The Magician(x1)", "Fool's Day Festival"
Hat of the Fool,-,The Lord of Fools,Wondrous Item (Very Rare),-,-,Wear,"This Harlequin hat functions as a Bag of Holding with twice its holding capacity, but every time you try to look for an item, there is a DC 0 check, failing which you end up pulling out party favors instead. The DC increases by 1 every time you pull something out of it successfully. Whenever the DC would become 16, the DC becomes 1 instead. The hat is also noisy with bells, giving Disadvantage to Stealth checks when worn. Storing the hat in a bag which is not magical can dampen the sound enough.",-,"Perception, Investigation, Religion, Performance, Fated Tarot Reading","15(x1), Auto Success on Fated Tarot: The Magician(x1)","Fool's Day Festival"
Party Favors,bag,The Lord of Fools,Ingredient (Very Rare),"Potions, Scrolls, Weapons, Armor, Shields, Rods, Wands, Staffs, Rings, Wondrous Items","10,000 GP",-,"Assorted Clown props and party favors imbued with Demonic energy. You can use its energy as 10,000 GP worth in materials to craft a magic item.",-,"Perception, Investigation, Religion, Performance, Fated Tarot Reading","17(x1), Auto Success on Fated Tarot: The Magician(x1)","Fool's Day Festival"
Ring of Pies,pouch,The Lord of Fools,Ring (Very Rare),-,-,-,"A magical ring that produces Cream Pies for the express purpose of launching them at a target. The ring has 6 charges. You can use 1 charge and a Magic Action, you can launch a magic pie produced out of the ring. On a hit, it deals no damage and the target must make a saving throw to maintain concentration on spells if it was concentrating on any, and it must spend its next Action to wipe the pie from their face. You can use 5 charges to launch a giant explosive pie that explodes in corrosive custard in a 20 ft radius Sphere. Creatures in the area must make a DC 18 Dexterity Saving Throw. The ring recovers 1d4 charges on a Long Rest up to its maximum.",-,"Perception, Investigation, Religion, Performance, Fated Tarot Reading","17(x1), Auto Success on Fated Tarot: The Magician(x1)", "Fool's Day Festival"
